class,support,tp,fp,fn,precision,recall,f1,per_class_acc
Dobby,23,5,6,18,0.4545,0.2174,0.2941,0.2174
Double Weave,23,14,7,9,0.6667,0.6087,0.6364,0.6087
Eyelet,21,20,2,1,0.9091,0.9524,0.9302,0.9524
Jacquard Weave,23,14,7,9,0.6667,0.6087,0.6364,0.6087
Pile Weave,23,22,3,1,0.8800,0.9565,0.9167,0.9565
Plain,23,15,16,8,0.4839,0.6522,0.5556,0.6522
Ripstop,23,20,12,3,0.6250,0.8696,0.7273,0.8696
Satin Weave,23,15,0,8,1.0000,0.6522,0.7895,0.6522
Twill Weave,23,20,7,3,0.7407,0.8696,0.8000,0.8696
